link,user,title,tags,date,like_count,comment_count,share_count
https://www.tiktok.com/@adoptingdogs/video/7003505218184908038,adoptingdogs,Congratulations Bailey! ,/tag/fyp,2021-9-3,20.3M,107.2K,275K
https://www.tiktok.com/@earringuk/video/7068910006690712837,earringuk,good boy😘,/tag/petsoftiktok,2022-2-26,17.4M,75.6K,221.3K
https://www.tiktok.com/@tahnimc/video/7129068711348129026,tahnimc,One time the pizza delivery guy dropped the pizzas and ran ,/tag/gsd,2022-8-7,14.9M,49.9K,139.3K
https://www.tiktok.com/@funnyvids2k21/video/6911397395402165505,funnyvids2k21,Wee 😂 ,/tag/foryou,2020-12-28,14.8M,167.2K,623K
https://www.tiktok.com/@scottyhubs/video/6986289328804711685,scottyhubs,I felt the urge to create ✨Art✨ again. ,/tag/art,2021-7-18,14.3M,105.5K,486.9K
https://www.tiktok.com/@taylorshelah/video/6806774241636142342,taylorshelah,blow this up for my baby 🥰 ,/tag/butterglosspop,2020-3-21,13.7M,87.1K,218.4K
https://www.tiktok.com/@jabenzimda/video/6986744426483764486,jabenzimda,Miss when she used to be so little 😅 ,/tag/fyp,2021-7-19,13.4M,104.4K,436.8K
https://www.tiktok.com/@arrowtotherescue/video/6920625976225385734,arrowtotherescue,The BEST puppers!! ,/tag/notaperfectperson,2021-1-22,11.5M,278.3K,140.2K
https://www.tiktok.com/@jakethes.d/video/7175292980834651434,jakethes.d,"Really glad I caught both of these interactions on camera last night! There a great example of how I handle things and what not to do, and what to do around service dogs❤️ ",/tag/servicedog,2022-12-9,10.8M,874,4738
https://www.tiktok.com/@samwell.the.bloodhound/video/7187459223134145838,samwell.the.bloodhound,That last slap tho….. 🤣🤣🤣,/tag/tagyourareit,1-11,10.6M,102.5K,615.6K
https://www.tiktok.com/@bigwendyyy/video/7197168687198113070,bigwendyyy,meet Mr. Bojangles ,/tag/dog,2-6,10.4M,86.3K,366.9K
https://www.tiktok.com/@joeyandgoose/video/6910016381517925638,joeyandgoose,was goose ready for school? ,/tag/dog,2020-12-25,10.3M,54.3K,308K
https://www.tiktok.com/@foufoupuppies1/video/6743856010043084034,foufoupuppies1, ,/tag/반려동물,2019-10-4,10.1M,50.5K,450.8K
https://www.tiktok.com/@sarahmalesaa/video/7058300779345546542,sarahmalesaa,why she do that 😭 ,/tag/dog,2022-1-28,9.2M,40.2K,65.4K
https://www.tiktok.com/@arianavjimenez/video/6899174332027686150,arianavjimenez,My boo🥺🖤 ,/tag/fyp,2020-11-25,8.9M,116.6K,381.2K
https://www.tiktok.com/@aiden_m365/video/6813835842323320069,aiden_m365,Yes I know I have a hole in my shirt lol ,/tag/plum,2020-4-9,17.3M,185.5K,639.5K
https://www.tiktok.com/@dongbbol7pl/video/7190927572371344686,dongbbol7pl, ,/tag/funny,1-21,14.4M,88.4K,164.4K
https://www.tiktok.com/@dobyandblue/video/6798926213487348998,dobyandblue,short dog problems 😂😂 ,/tag/prank,2020-2-29,14.2M,34.4K,162K
https://www.tiktok.com/@joe_rain0/video/7133657640604830981,joe_rain0,The end😂😂 ,/tag/cat,2022-8-19,12.9M,74.1K,383K
https://www.tiktok.com/@jiraer23/video/6931461393459809542,jiraer23,DOGS ARE THE BEST . ,/tag/fyp,2021-2-20,12.9M,199.8K,797.9K
https://www.tiktok.com/@callikoa/video/7121972327239306542,callikoa,teaching fendi cpr lol ,/tag/puppy,2022-7-19,12M,77.3K,302.7K
https://www.tiktok.com/@gofetch/video/6815510962989288709,gofetch,Damn that dog can fly 😱 ,/tag/fy,2020-4-14,11.7M,79K,417.8K
https://www.tiktok.com/@corgilover85/video/7030756973222071557,corgilover85,"It&#x27;s time for another Corgi care routine, do you think he enjoys it?😘😘😘",/tag/puppy,2021-11-15,11.1M,65.7K,467.3K
https://www.tiktok.com/@onetrueeric/video/7051715104160730414,onetrueeric,My gf just adopted this dog but I think the dog adopted her ,/tag/gsd,2022-1-10,11M,20.5K,67.2K
https://www.tiktok.com/@meetthebarrs/video/6960855420923645189,meetthebarrs,When you meet the love of your life. ,/tag/dog,2021-5-11,10.4M,114.6K,515.8K
https://www.tiktok.com/@princeplate/video/7177574505366195499,princeplate,Prince’s 1st Birthday 🎈🎉,/tag/fyp,2022-12-16,10.2M,40.3K,110.8K
https://www.tiktok.com/@azchpn/video/6876395213879921921,azchpn,寝てると思ったら、、part7😆,/tag/dog,2020-9-25,10M,48.9K,375.9K
https://www.tiktok.com/@vaneybenji/video/7180029808145878277,vaneybenji,🤣🤣🤣,/tag/vozmalvado,2022-12-22,9.9M,66.4K,163K
https://www.tiktok.com/@ldjl_edits/video/7173303564671012102,ldjl_edits,The dog saved the kids life 😳,/tag/dog,2022-12-4,9.5M,32.5K,35.7K
https://www.tiktok.com/@tpetey93/video/7065815746781121838,tpetey93, ,/tag/fyp,2022-2-17,8.6M,81.5K,330K
https://www.tiktok.com/@azchpn/video/6894578098059201794,azchpn,この曲を聴くと❓😆,/tag/dog,2020-11-13,14.3M,87.9K,305.7K
https://www.tiktok.com/@football_editz671/video/7094874806100774150,football_editz671, ,/tag/dog,2022-5-7,10.7M,69.5K,142.3K
https://www.tiktok.com/@thosesuperdogs/video/7178259833399856427,thosesuperdogs,I think he got offended….😀 ,/tag/dog,2022-12-17,10.4M,61.1K,130.8K
https://www.tiktok.com/@redlabricky/video/7209771161612307755,redlabricky,He’s trying his hardest to keep up😂 ,/tag/leftrightchallenge,3-12,9.1M,38.2K,169.8K
https://www.tiktok.com/@puffclub_official/video/6814722794148924677,puffclub_official,"Mommy, you mustn&#x27;t leave me.😭😭😭",/tag/fpy,2020-4-12,8.4M,85K,136.9K
https://www.tiktok.com/@poor.xena/video/6968819038399057157,poor.xena,Magic word ,/tag/dogsoftiktok,2021-6-1,8.4M,81.1K,271.8K
https://www.tiktok.com/@gofetch/video/6982985641172700421,gofetch,We got him a friend🥺❤️ (,/tag/fyp,2021-7-9,8M,43.8K,120.7K
